#TEXT ID,ENGLISH,FRENCH,ITALIAN,GERMAN,SPANISH
#Note: The # character at the beginning of a row is used to indicate a row header or comment. These rows will not be imported in the game.
GAME_TITLE,Hero's Run,Course du Héros,NOT TRANSLATED,NOT TRANSLATED,NOT TRANSLATED
PLAY_AGAIN,Play Again,Joue Encore,NOT TRANSLATED,NOT TRANSLATED,NOT TRANSLATED
REVIVE_ME,Revive me,Résurrection,NOT TRANSLATED,NOT TRANSLATED,NOT TRANSLATED
DISTANCE,Distance,Distance,NOT TRANSLATED,NOT TRANSLATED,NOT TRANSLATED
STARS,Stars,Étoiles,NOT TRANSLATED,NOT TRANSLATED,NOT TRANSLATED
KING_CASTLE,King's Castle,Château du Roi,NOT TRANSLATED,NOT TRANSLATED,NOT TRANSLATED
GO,Go!,Vas-y !,NOT TRANSLATED,NOT TRANSLATED,NOT TRANSLATED
SUCCUBUS_FIRST_DATE,Here comes Suzie!,Voici venir Suzie !,NOT TRANSLATED,NOT TRANSLATED,NOT TRANSLATED
SUCCUBUS_IM_BACK,I'm back! Did you miss me?,Tu t'es ennuyé de moi ?,NOT TRANSLATED,NOT TRANSLATED,NOT TRANSLATED
YOU_ARE_CUTE,You're kinda cute :),Tu es plutôt mignon :),NOT TRANSLATED,NOT TRANSLATED,NOT TRANSLATED
NOT_PASS,Thou shall not pass!,Tu ne passeras pas !,NOT TRANSLATED,NOT TRANSLATED,NOT TRANSLATED
NOTHING_PERSONAL,It's nothing personal,C'est rien de personnel,NOT TRANSLATED,NOT TRANSLATED,NOT TRANSLATED
WITCH_HURRAH,Hurrah! You did it!,Bravo ! Tu as réussi,NOT TRANSLATED,NOT TRANSLATED,NOT TRANSLATED
TUTORIAL_CHANGE_LANES,Swipe sideways to change lanes,Balaye du doigt pour changer de voie,NOT TRANSLATED,NOT TRANSLATED,NOT TRANSLATED
TUTORIAL_JUMP,Swipe up to jump,Balaye du doigt vers le haut pour sauter,NOT TRANSLATED,NOT TRANSLATED,NOT TRANSLATED
TUTORIAL_TURN_CORNERS,Swipe sideways to turn corners,Balaye du doigt pour prendre un virage à 90 degrés,NOT TRANSLATED,NOT TRANSLATED,NOT TRANSLATED
TUTORIAL_SLIDE,Swipe down to slide,Balaye du doigt vers le bas pour glisser,NOT TRANSLATED,NOT TRANSLATED,NOT TRANSLATED
TUTORIAL_SLIDE_BREAKABLE,Slide to break objects,Glisse pour briser des objets,NOT TRANSLATED,NOT TRANSLATED,NOT TRANSLATED
TUTORIAL_TILT_CHANGE_LANES,You can also tilt to change lanes and collect stars,Tu peux aussi incliner l'appareil pour changer de voie et récupérer des étoiles,NOT TRANSLATED,NOT TRANSLATED,NOT TRANSLATED
TUTORIAL_ACTIVATE_POWER_UP,Double tap anywhere to activate selected power,Tape deux fois sur l'écran pour activer le pouvoir sélectionné,NOT TRANSLATED,NOT TRANSLATED,NOT TRANSLATED
TUTORIAL_DOUBLE_TAP_NOW,Double tap now,Tape deux fois maintenant,NOT TRANSLATED,NOT TRANSLATED,NOT TRANSLATED
TUTORIAL_GOOD,Good!,Bien !,NOT TRANSLATED,NOT TRANSLATED,NOT TRANSLATED
TUTORIAL_EXCELLENT,Excellent!,Excellent !,NOT TRANSLATED,NOT TRANSLATED,NOT TRANSLATED
TUTORIAL_OOPS,Oops!,Oups !,NOT TRANSLATED,NOT TRANSLATED,NOT TRANSLATED
TUTORIAL_TRY_AGAIN,Try Again,Réessaie,NOT TRANSLATED,NOT TRANSLATED,NOT TRANSLATED
TUTORIAL_CHANGE_LANES_FAIL,Swipe and release each time instead of holding down your finger.,Balaye et relâche chaque fois au lieu de garder ton doigt sur l'écran.,NOT TRANSLATED,NOT TRANSLATED,NOT TRANSLATED
